fiscal_year_label,year,category,subcategory,value,unit,notes,country_iso3,source_dataset,value_usd_nominal,value_usd_real_2015,currency_conversion_note
1966,1966,Deficit,,12.1,billion rials,,IRN,wb1974-table6.1-central-govt-operations-summary,0.1597,0.6644,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1966=75.75000007575, rebased CPI_1966=0.0541)"
1967,1967,Deficit,,25.4,billion rials,,IRN,wb1974-table6.1-central-govt-operations-summary,0.3353,1.3718,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1967=75.75000007575, rebased CPI_1967=0.055)"
1968,1968,Deficit,,39.3,billion rials,,IRN,wb1974-table6.1-central-govt-operations-summary,0.5188,2.1072,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1968=75.75000007575, rebased CPI_1968=0.0554)"
1969,1969,Deficit,,46.8,billion rials,,IRN,wb1974-table6.1-central-govt-operations-summary,0.6178,2.4262,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1969=75.75000007575, rebased CPI_1969=0.0573)"
1970,1970,Deficit,,58.4,billion rials,,IRN,wb1974-table6.1-central-govt-operations-summary,0.771,2.9756,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1970=75.75000007575, rebased CPI_1970=0.0583)"
1971,1971,Deficit,,33.5,billion rials,,IRN,wb1974-table6.1-central-govt-operations-summary,0.4422,1.6394,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1971=75.7500000694375, rebased CPI_1971=0.0607)"
preliminary_actuals_1972,1972,Deficit,,58.9,billion rials,PRELIMINARY ACTUALS for 1972 -- not yet final at time of report.,IRN,wb1974-table6.1-central-govt-operations-summary,0.7776,2.7084,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1972=75.7499701345202, rebased CPI_1972=0.0646)"
budget_estimates_1973,1973,Deficit,,109.1,billion rials,"BUDGET ESTIMATE for 1973, not an actual.",IRN,wb1974-table6.1-central-govt-operations-summary,1.5838,4.5645,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1973=68.88604194825852, rebased CPI_1973=0.071)"
1962,1962,Financed by: Net borrowing abroad,,0.3,billion rials,,IRN,wb1974-table6.1-central-govt-operations-summary,0.004,0.0175,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1962=75.75000007575, rebased CPI_1962=0.051)"
1963,1963,Financed by: Net borrowing abroad,,-0.1,billion rials,,IRN,wb1974-table6.1-central-govt-operations-summary,-0.0013,-0.0058,"computed via IRN official/parallel FX rate + CPI, base year 2015 (FX_1963=75.75000007575, rebased CPI_1963=0.0512)"
