REF_AREA,INDICATOR,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,SEX,AGE,URBANISATION,COMP_BREAKDOWN_1,COMP_BREAKDOWN_2,COMP_BREAKDOWN_3,LATEST_DATA,OBS_STATUS,FREQ
USA,WEF_GCIHH_GCI_A_01_01_01,2009,25,RANK,_T,_T,_T,_Z,_Z,_Z,False,A,A
USA,WEF_GCIHH_GCI_A_01_01_01,2008,5.72,1_TO_7,_T,_T,_T,_Z,_Z,_Z,False,A,A
USA,WEF_GCIHH_GCI_A_01_01_01,2008,22,RANK,_T,_T,_T,_Z,_Z,_Z,False,A,A
USA,WEF_GCIHH_GCI_A_01_01_01,2007,5.5,1_TO_7,_T,_T,_T,_Z,_Z,_Z,False,A,A
USA,WEF_GCIHH_GCI_A_01_01_01,2007,25,RANK,_T,_T,_T,_Z,_Z,_Z,False,A,A
USA,WEF_GCIHH_GCI_A_01_02,2017,5.45,1_TO_7,_T,_T,_T,_Z,_Z,_Z,True,A,A
USA,WEF_GCIHH_GCI_A_01_02,2017,17,RANK,_T,_T,_T,_Z,_Z,_Z,True,A,A
USA,WEF_GCIHH_GCI_A_01_02,2016,5.21,1_TO_7,_T,_T,_T,_Z,_Z,_Z,False,A,A
USA,WEF_GCIHH_GCI_A_01_02,2016,22,RANK,_T,_T,_T,_Z,_Z,_Z,False,A,A
USA,WEF_GCIHH_GCI_A_01_02,2015,5.13,1_TO_7,_T,_T,_T,_Z,_Z,_Z,False,A,A
USA,WEF_GCIHH_GCI_A_01_02,2015,24,RANK,_T,_T,_T,_Z,_Z,_Z,False,A,A
USA,WEF_GCIHH_GCI_A_01_02,2014,5.15,1_TO_7,_T,_T,_T,_Z,_Z,_Z,False,A,A
USA,WEF_GCIHH_GCI_A_01_02,2014,24,RANK,_T,_T,_T,_Z,_Z,_Z,False,A,A
USA,WEF_GCIHH_GCI_A_01_02,2013,5.13,1_TO_7,_T,_T,_T,_Z,_Z,_Z,False,A,A
USA,WEF_GCIHH_GCI_A_01_02,2013,26,RANK,_T,_T,_T,_Z,_Z,_Z,False,A,A
USA,WEF_GCIHH_GCI_A_01_02,2012,5.13,1_TO_7,_T,_T,_T,_Z,_Z,_Z,False,A,A
USA,WEF_GCIHH_GCI_A_01_02,2012,28,RANK,_T,_T,_T,_Z,_Z,_Z,False,A,A
USA,WEF_GCIHH_GCI_A_01_02,2011,5.19,1_TO_7,_T,_T,_T,_Z,_Z,_Z,False,A,A
USA,WEF_GCIHH_GCI_A_01_02,2011,26,RANK,_T,_T,_T,_Z,_Z,_Z,False,A,A
USA,WEF_GCIHH_GCI_A_01_02,2010,5.17,1_TO_7,_T,_T,_T,_Z,_Z,_Z,False,A,A
USA,WEF_GCIHH_GCI_A_01_02,2010,24,RANK,_T,_T,_T,_Z,_Z,_Z,False,A,A
USA,WEF_GCIHH_GCI_A_01_02,2009,5.32,1_TO_7,_T,_T,_T,_Z,_Z,_Z,False,A,A
USA,WEF_GCIHH_GCI_A_01_02,2009,22,RANK,_T,_T,_T,_Z,_Z,_Z,False,A,A
USA,WEF_GCIHH_GCI_A_01_02,2008,5.54,1_TO_7,_T,_T,_T,_Z,_Z,_Z,False,A,A
USA,WEF_GCIHH_GCI_A_01_02,2008,18,RANK,_T,_T,_T,_Z,_Z,_Z,False,A,A
USA,WEF_GCIHH_GCI_A_01_02,2007,5.34,1_TO_7,_T,_T,_T,_Z,_Z,_Z,False,A,A
USA,WEF_GCIHH_GCI_A_01_02,2007,22,RANK,_T,_T,_T,_Z,_Z,_Z,False,A,A
USA,WEF_GCIHH_GCI_A_01,2017,5.33,1_TO_7,_T,_T,_T,_Z,_Z,_Z,True,A,A
USA,WEF_GCIHH_GCI_A_01,2017,20,RANK,_T,_T,_T,_Z,_Z,_Z,True,A,A
USA,WEF_GCIHH_GCI_A_01,2016,4.96,1_TO_7,_T,_T,_T,_Z,_Z,_Z,False,A,A
USA,WEF_GCIHH_GCI_A_01,2016,27,RANK,_T,_T,_T,_Z,_Z,_Z,False,A,A
USA,WEF_GCIHH_GCI_A_01,2015,4.82,1_TO_7,_T,_T,_T,_Z,_Z,_Z,False,A,A
USA,WEF_GCIHH_GCI_A_01,2015,28,RANK,_T,_T,_T,_Z,_Z,_Z,False,A,A
USA,WEF_GCIHH_GCI_A_01,2014,4.69,1_TO_7,_T,_T,_T,_Z,_Z,_Z,False,A,A
USA,WEF_GCIHH_GCI_A_01,2014,30,RANK,_T,_T,_T,_Z,_Z,_Z,False,A,A
USA,WEF_GCIHH_GCI_A_01,2013,4.64,1_TO_7,_T,_T,_T,_Z,_Z,_Z,False,A,A
USA,WEF_GCIHH_GCI_A_01,2013,35,RANK,_T,_T,_T,_Z,_Z,_Z,False,A,A
USA,WEF_GCIHH_GCI_A_01,2012,4.59,1_TO_7,_T,_T,_T,_Z,_Z,_Z,False,A,A
USA,WEF_GCIHH_GCI_A_01,2012,41,RANK,_T,_T,_T,_Z,_Z,_Z,False,A,A
USA,WEF_GCIHH_GCI_A_01,2011,4.64,1_TO_7,_T,_T,_T,_Z,_Z,_Z,False,A,A
USA,WEF_GCIHH_GCI_A_01,2011,39,RANK,_T,_T,_T,_Z,_Z,_Z,False,A,A
USA,WEF_GCIHH_GCI_A_01,2010,4.67,1_TO_7,_T,_T,_T,_Z,_Z,_Z,False,A,A
USA,WEF_GCIHH_GCI_A_01,2010,40,RANK,_T,_T,_T,_Z,_Z,_Z,False,A,A
USA,WEF_GCIHH_GCI_A_01,2009,4.81,1_TO_7,_T,_T,_T,_Z,_Z,_Z,False,A,A
USA,WEF_GCIHH_GCI_A_01,2009,34,RANK,_T,_T,_T,_Z,_Z,_Z,False,A,A
USA,WEF_GCIHH_GCI_A_01,2008,4.93,1_TO_7,_T,_T,_T,_Z,_Z,_Z,False,A,A
USA,WEF_GCIHH_GCI_A_01,2008,29,RANK,_T,_T,_T,_Z,_Z,_Z,False,A,A
USA,WEF_GCIHH_GCI_A_01,2007,4.76,1_TO_7,_T,_T,_T,_Z,_Z,_Z,False,A,A
USA,WEF_GCIHH_GCI_A_01,2007,33,RANK,_T,_T,_T,_Z,_Z,_Z,False,A,A
USA,WEF_GCIHH_GCI_A,2017,5.54,IX,_T,_T,_T,_Z,_Z,_Z,True,A,A
USA,WEF_GCIHH_GCI_A,2017,25,RANK,_T,_T,_T,_Z,_Z,_Z,True,A,A
USA,WEF_GCIHH_GCI_A,2016,5.43,IX,_T,_T,_T,_Z,_Z,_Z,False,A,A
USA,WEF_GCIHH_GCI_A,2016,27,RANK,_T,_T,_T,_Z,_Z,_Z,False,A,A
USA,WEF_GCIHH_GCI_A,2015,5.27,IX,_T,_T,_T,_Z,_Z,_Z,False,A,A
USA,WEF_GCIHH_GCI_A,2015,30,RANK,_T,_T,_T,_Z,_Z,_Z,False,A,A
USA,WEF_GCIHH_GCI_A,2014,5.15,IX,_T,_T,_T,_Z,_Z,_Z,False,A,A
USA,WEF_GCIHH_GCI_A,2014,33,RANK,_T,_T,_T,_Z,_Z,_Z,False,A,A
USA,WEF_GCIHH_GCI_A,2013,5.12,IX,_T,_T,_T,_Z,_Z,_Z,False,A,A
USA,WEF_GCIHH_GCI_A,2013,36,RANK,_T,_T,_T,_Z,_Z,_Z,False,A,A
USA,WEF_GCIHH_GCI_A,2012,5.12,IX,_T,_T,_T,_Z,_Z,_Z,False,A,A
USA,WEF_GCIHH_GCI_A,2012,33,RANK,_T,_T,_T,_Z,_Z,_Z,False,A,A
USA,WEF_GCIHH_GCI_A,2011,5.21,IX,_T,_T,_T,_Z,_Z,_Z,False,A,A
USA,WEF_GCIHH_GCI_A,2011,36,RANK,_T,_T,_T,_Z,_Z,_Z,False,A,A
USA,WEF_GCIHH_GCI_A,2010,5.21,IX,_T,_T,_T,_Z,_Z,_Z,False,A,A
USA,WEF_GCIHH_GCI_A,2010,32,RANK,_T,_T,_T,_Z,_Z,_Z,False,A,A
USA,WEF_GCIHH_GCI_A,2009,5.23,IX,_T,_T,_T,_Z,_Z,_Z,False,A,A
USA,WEF_GCIHH_GCI_A,2009,28,RANK,_T,_T,_T,_Z,_Z,_Z,False,A,A
USA,WEF_GCIHH_GCI_A,2008,5.5,IX,_T,_T,_T,_Z,_Z,_Z,False,A,A
USA,WEF_GCIHH_GCI_A,2008,22,RANK,_T,_T,_T,_Z,_Z,_Z,False,A,A
USA,WEF_GCIHH_GCI_A,2007,5.41,IX,_T,_T,_T,_Z,_Z,_Z,False,A,A
USA,WEF_GCIHH_GCI_A,2007,23,RANK,_T,_T,_T,_Z,_Z,_Z,False,A,A
USA,WEF_GCIHH_GCI_A_01_01_04,2017,5.39,1_TO_7,_T,_T,_T,_Z,_Z,_Z,True,A,A
USA,WEF_GCIHH_GCI_A_01_01_04,2017,5,RANK,_T,_T,_T,_Z,_Z,_Z,True,A,A
USA,WEF_GCIHH_GCI_A_01_01_04,2016,4.47,1_TO_7,_T,_T,_T,_Z,_Z,_Z,False,A,A
USA,WEF_GCIHH_GCI_A_01_01_04,2016,22,RANK,_T,_T,_T,_Z,_Z,_Z,False,A,A
USA,WEF_GCIHH_GCI_A_01_01_04,2015,4.26,1_TO_7,_T,_T,_T,_Z,_Z,_Z,False,A,A
USA,WEF_GCIHH_GCI_A_01_01_04,2015,25,RANK,_T,_T,_T,_Z,_Z,_Z,False,A,A
USA,WEF_GCIHH_GCI_A_01_01_04,2014,4.04,1_TO_7,_T,_T,_T,_Z,_Z,_Z,False,A,A
USA,WEF_GCIHH_GCI_A_01_01_04,2014,34,RANK,_T,_T,_T,_Z,_Z,_Z,False,A,A
USA,WEF_GCIHH_GCI_A_01_01_04,2013,3.99,1_TO_7,_T,_T,_T,_Z,_Z,_Z,False,A,A
USA,WEF_GCIHH_GCI_A_01_01_04,2013,39,RANK,_T,_T,_T,_Z,_Z,_Z,False,A,A
USA,WEF_GCIHH_GCI_A_01_01_04,2012,3.97,1_TO_7,_T,_T,_T,_Z,_Z,_Z,False,A,A
USA,WEF_GCIHH_GCI_A_01_01_04,2012,48,RANK,_T,_T,_T,_Z,_Z,_Z,False,A,A
USA,WEF_GCIHH_GCI_A_01_01_04,2011,3.98,1_TO_7,_T,_T,_T,_Z,_Z,_Z,False,A,A
USA,WEF_GCIHH_GCI_A_01_01_04,2011,43,RANK,_T,_T,_T,_Z,_Z,_Z,False,A,A
USA,WEF_GCIHH_GCI_A_01_01_04,2010,4.06,1_TO_7,_T,_T,_T,_Z,_Z,_Z,False,A,A
USA,WEF_GCIHH_GCI_A_01_01_04,2010,39,RANK,_T,_T,_T,_Z,_Z,_Z,False,A,A
USA,WEF_GCIHH_GCI_A_01_01_04,2009,4.09,1_TO_7,_T,_T,_T,_Z,_Z,_Z,False,A,A
USA,WEF_GCIHH_GCI_A_01_01_04,2009,38,RANK,_T,_T,_T,_Z,_Z,_Z,False,A,A
USA,WEF_GCIHH_GCI_A_01_01_04,2008,4.17,1_TO_7,_T,_T,_T,_Z,_Z,_Z,False,A,A
USA,WEF_GCIHH_GCI_A_01_01_04,2008,37,RANK,_T,_T,_T,_Z,_Z,_Z,False,A,A
USA,WEF_GCIHH_GCI_A_01_01_04,2007,4.2,1_TO_7,_T,_T,_T,_Z,_Z,_Z,False,A,A
USA,WEF_GCIHH_GCI_A_01_01_04,2007,35,RANK,_T,_T,_T,_Z,_Z,_Z,False,A,A
USA,WEF_GCIHH_FEMLABOR,2017,0.86,RO,_T,_T,_T,_Z,_Z,_Z,True,A,A
USA,WEF_GCIHH_FEMLABOR,2017,56,RANK,_T,_T,_T,_Z,_Z,_Z,True,A,A
USA,WEF_GCIHH_FEMLABOR,2016,0.86,RO,_T,_T,_T,_Z,_Z,_Z,False,A,A
USA,WEF_GCIHH_FEMLABOR,2016,55,RANK,_T,_T,_T,_Z,_Z,_Z,False,A,A
USA,WEF_GCIHH_FEMLABOR,2015,0.86,RO,_T,_T,_T,_Z,_Z,_Z,False,A,A
USA,WEF_GCIHH_FEMLABOR,2015,52,RANK,_T,_T,_T,_Z,_Z,_Z,False,A,A
USA,WEF_GCIHH_FEMLABOR,2014,0.86,RO,_T,_T,_T,_Z,_Z,_Z,False,A,A
USA,WEF_GCIHH_FEMLABOR,2014,49,RANK,_T,_T,_T,_Z,_Z,_Z,False,A,A
USA,WEF_GCIHH_FEMLABOR,2013,0.86,RO,_T,_T,_T,_Z,_Z,_Z,False,A,A
USA,WEF_GCIHH_FEMLABOR,2013,47,RANK,_T,_T,_T,_Z,_Z,_Z,False,A,A
