country_iso3,country_name,year,value,unit,variant_code,variant_label,source_dataset,computed
SAU,Saudi Arabia,2014,159887121674.4235,constant 2015 US$ (computed),NY.ADJ.SVNX.COMPUTED_REAL_2015USD,"Adjusted net savings, excluding particulate emission damage (current US$) (computed real, 2015 US$)",wdi,true
SAU,Saudi Arabia,2015,53644193266.0565,constant 2015 US$ (computed),NY.ADJ.SVNX.COMPUTED_REAL_2015USD,"Adjusted net savings, excluding particulate emission damage (current US$) (computed real, 2015 US$)",wdi,true
SAU,Saudi Arabia,2016,76854962360.6878,constant 2015 US$ (computed),NY.ADJ.SVNX.COMPUTED_REAL_2015USD,"Adjusted net savings, excluding particulate emission damage (current US$) (computed real, 2015 US$)",wdi,true
SAU,Saudi Arabia,2017,107182863555.0527,constant 2015 US$ (computed),NY.ADJ.SVNX.COMPUTED_REAL_2015USD,"Adjusted net savings, excluding particulate emission damage (current US$) (computed real, 2015 US$)",wdi,true
SAU,Saudi Arabia,2018,166559900946.9344,constant 2015 US$ (computed),NY.ADJ.SVNX.COMPUTED_REAL_2015USD,"Adjusted net savings, excluding particulate emission damage (current US$) (computed real, 2015 US$)",wdi,true
SAU,Saudi Arabia,2019,160752607946.8097,constant 2015 US$ (computed),NY.ADJ.SVNX.COMPUTED_REAL_2015USD,"Adjusted net savings, excluding particulate emission damage (current US$) (computed real, 2015 US$)",wdi,true
SAU,Saudi Arabia,2020,75998336664.0437,constant 2015 US$ (computed),NY.ADJ.SVNX.COMPUTED_REAL_2015USD,"Adjusted net savings, excluding particulate emission damage (current US$) (computed real, 2015 US$)",wdi,true
ESP,Spain,1990,94170786650.0079,constant 2015 US$ (computed),NY.ADJ.SVNX.COMPUTED_REAL_2015USD,"Adjusted net savings, excluding particulate emission damage (current US$) (computed real, 2015 US$)",wdi,true
ESP,Spain,1991,94546097840.1538,constant 2015 US$ (computed),NY.ADJ.SVNX.COMPUTED_REAL_2015USD,"Adjusted net savings, excluding particulate emission damage (current US$) (computed real, 2015 US$)",wdi,true
ESP,Spain,1992,83565236378.5222,constant 2015 US$ (computed),NY.ADJ.SVNX.COMPUTED_REAL_2015USD,"Adjusted net savings, excluding particulate emission damage (current US$) (computed real, 2015 US$)",wdi,true
ESP,Spain,1993,79798347069.4069,constant 2015 US$ (computed),NY.ADJ.SVNX.COMPUTED_REAL_2015USD,"Adjusted net savings, excluding particulate emission damage (current US$) (computed real, 2015 US$)",wdi,true
ESP,Spain,1994,78674653795.7194,constant 2015 US$ (computed),NY.ADJ.SVNX.COMPUTED_REAL_2015USD,"Adjusted net savings, excluding particulate emission damage (current US$) (computed real, 2015 US$)",wdi,true
ESP,Spain,1995,102971050948.0467,constant 2015 US$ (computed),NY.ADJ.SVNX.COMPUTED_REAL_2015USD,"Adjusted net savings, excluding particulate emission damage (current US$) (computed real, 2015 US$)",wdi,true
ESP,Spain,1996,103463319526.9931,constant 2015 US$ (computed),NY.ADJ.SVNX.COMPUTED_REAL_2015USD,"Adjusted net savings, excluding particulate emission damage (current US$) (computed real, 2015 US$)",wdi,true
ESP,Spain,1997,115891580212.741,constant 2015 US$ (computed),NY.ADJ.SVNX.COMPUTED_REAL_2015USD,"Adjusted net savings, excluding particulate emission damage (current US$) (computed real, 2015 US$)",wdi,true
ESP,Spain,1998,126985923646.2644,constant 2015 US$ (computed),NY.ADJ.SVNX.COMPUTED_REAL_2015USD,"Adjusted net savings, excluding particulate emission damage (current US$) (computed real, 2015 US$)",wdi,true
ESP,Spain,1999,123863376786.9851,constant 2015 US$ (computed),NY.ADJ.SVNX.COMPUTED_REAL_2015USD,"Adjusted net savings, excluding particulate emission damage (current US$) (computed real, 2015 US$)",wdi,true
ESP,Spain,2000,126926214189.7363,constant 2015 US$ (computed),NY.ADJ.SVNX.COMPUTED_REAL_2015USD,"Adjusted net savings, excluding particulate emission damage (current US$) (computed real, 2015 US$)",wdi,true
ESP,Spain,2001,129649053461.1159,constant 2015 US$ (computed),NY.ADJ.SVNX.COMPUTED_REAL_2015USD,"Adjusted net savings, excluding particulate emission damage (current US$) (computed real, 2015 US$)",wdi,true
ESP,Spain,2002,142821447691.629,constant 2015 US$ (computed),NY.ADJ.SVNX.COMPUTED_REAL_2015USD,"Adjusted net savings, excluding particulate emission damage (current US$) (computed real, 2015 US$)",wdi,true
ESP,Spain,2003,155339229959.2495,constant 2015 US$ (computed),NY.ADJ.SVNX.COMPUTED_REAL_2015USD,"Adjusted net savings, excluding particulate emission damage (current US$) (computed real, 2015 US$)",wdi,true
ESP,Spain,2004,149324130173.1552,constant 2015 US$ (computed),NY.ADJ.SVNX.COMPUTED_REAL_2015USD,"Adjusted net savings, excluding particulate emission damage (current US$) (computed real, 2015 US$)",wdi,true
ESP,Spain,2005,144558287237.3911,constant 2015 US$ (computed),NY.ADJ.SVNX.COMPUTED_REAL_2015USD,"Adjusted net savings, excluding particulate emission damage (current US$) (computed real, 2015 US$)",wdi,true
ESP,Spain,2006,145259947332.2767,constant 2015 US$ (computed),NY.ADJ.SVNX.COMPUTED_REAL_2015USD,"Adjusted net savings, excluding particulate emission damage (current US$) (computed real, 2015 US$)",wdi,true
ESP,Spain,2007,142412335002.2837,constant 2015 US$ (computed),NY.ADJ.SVNX.COMPUTED_REAL_2015USD,"Adjusted net savings, excluding particulate emission damage (current US$) (computed real, 2015 US$)",wdi,true
ESP,Spain,2008,121658189044.1221,constant 2015 US$ (computed),NY.ADJ.SVNX.COMPUTED_REAL_2015USD,"Adjusted net savings, excluding particulate emission damage (current US$) (computed real, 2015 US$)",wdi,true
ESP,Spain,2009,107931699006.8049,constant 2015 US$ (computed),NY.ADJ.SVNX.COMPUTED_REAL_2015USD,"Adjusted net savings, excluding particulate emission damage (current US$) (computed real, 2015 US$)",wdi,true
ESP,Spain,2010,93430867609.4187,constant 2015 US$ (computed),NY.ADJ.SVNX.COMPUTED_REAL_2015USD,"Adjusted net savings, excluding particulate emission damage (current US$) (computed real, 2015 US$)",wdi,true
ESP,Spain,2011,75362232850.8667,constant 2015 US$ (computed),NY.ADJ.SVNX.COMPUTED_REAL_2015USD,"Adjusted net savings, excluding particulate emission damage (current US$) (computed real, 2015 US$)",wdi,true
ESP,Spain,2012,68669131742.1096,constant 2015 US$ (computed),NY.ADJ.SVNX.COMPUTED_REAL_2015USD,"Adjusted net savings, excluding particulate emission damage (current US$) (computed real, 2015 US$)",wdi,true
ESP,Spain,2013,76804147320.0403,constant 2015 US$ (computed),NY.ADJ.SVNX.COMPUTED_REAL_2015USD,"Adjusted net savings, excluding particulate emission damage (current US$) (computed real, 2015 US$)",wdi,true
ESP,Spain,2014,81159111316.2846,constant 2015 US$ (computed),NY.ADJ.SVNX.COMPUTED_REAL_2015USD,"Adjusted net savings, excluding particulate emission damage (current US$) (computed real, 2015 US$)",wdi,true
ESP,Spain,2015,103635448113.116,constant 2015 US$ (computed),NY.ADJ.SVNX.COMPUTED_REAL_2015USD,"Adjusted net savings, excluding particulate emission damage (current US$) (computed real, 2015 US$)",wdi,true
ESP,Spain,2016,120633716905.0261,constant 2015 US$ (computed),NY.ADJ.SVNX.COMPUTED_REAL_2015USD,"Adjusted net savings, excluding particulate emission damage (current US$) (computed real, 2015 US$)",wdi,true
ESP,Spain,2017,127853890540.8891,constant 2015 US$ (computed),NY.ADJ.SVNX.COMPUTED_REAL_2015USD,"Adjusted net savings, excluding particulate emission damage (current US$) (computed real, 2015 US$)",wdi,true
ESP,Spain,2018,133751705121.9417,constant 2015 US$ (computed),NY.ADJ.SVNX.COMPUTED_REAL_2015USD,"Adjusted net savings, excluding particulate emission damage (current US$) (computed real, 2015 US$)",wdi,true
ESP,Spain,2019,145957986965.7906,constant 2015 US$ (computed),NY.ADJ.SVNX.COMPUTED_REAL_2015USD,"Adjusted net savings, excluding particulate emission damage (current US$) (computed real, 2015 US$)",wdi,true
ESP,Spain,2020,82235503107.6695,constant 2015 US$ (computed),NY.ADJ.SVNX.COMPUTED_REAL_2015USD,"Adjusted net savings, excluding particulate emission damage (current US$) (computed real, 2015 US$)",wdi,true
ESP,Spain,2021,100726879422.1629,constant 2015 US$ (computed),NY.ADJ.SVNX.COMPUTED_REAL_2015USD,"Adjusted net savings, excluding particulate emission damage (current US$) (computed real, 2015 US$)",wdi,true
TUR,Turkey,1990,20743890849.3714,constant 2015 US$ (computed),NY.ADJ.SVNX.COMPUTED_REAL_2015USD,"Adjusted net savings, excluding particulate emission damage (current US$) (computed real, 2015 US$)",wdi,true
TUR,Turkey,1991,10751437094.091,constant 2015 US$ (computed),NY.ADJ.SVNX.COMPUTED_REAL_2015USD,"Adjusted net savings, excluding particulate emission damage (current US$) (computed real, 2015 US$)",wdi,true
TUR,Turkey,1992,11689210672.7176,constant 2015 US$ (computed),NY.ADJ.SVNX.COMPUTED_REAL_2015USD,"Adjusted net savings, excluding particulate emission damage (current US$) (computed real, 2015 US$)",wdi,true
TUR,Turkey,1993,16961269116.7497,constant 2015 US$ (computed),NY.ADJ.SVNX.COMPUTED_REAL_2015USD,"Adjusted net savings, excluding particulate emission damage (current US$) (computed real, 2015 US$)",wdi,true
TUR,Turkey,1994,9877036371.8902,constant 2015 US$ (computed),NY.ADJ.SVNX.COMPUTED_REAL_2015USD,"Adjusted net savings, excluding particulate emission damage (current US$) (computed real, 2015 US$)",wdi,true
TUR,Turkey,1995,14415265778.4977,constant 2015 US$ (computed),NY.ADJ.SVNX.COMPUTED_REAL_2015USD,"Adjusted net savings, excluding particulate emission damage (current US$) (computed real, 2015 US$)",wdi,true
TUR,Turkey,1996,23974931174.5512,constant 2015 US$ (computed),NY.ADJ.SVNX.COMPUTED_REAL_2015USD,"Adjusted net savings, excluding particulate emission damage (current US$) (computed real, 2015 US$)",wdi,true
TUR,Turkey,1997,21414525340.0594,constant 2015 US$ (computed),NY.ADJ.SVNX.COMPUTED_REAL_2015USD,"Adjusted net savings, excluding particulate emission damage (current US$) (computed real, 2015 US$)",wdi,true
TUR,Turkey,1998,56714512876.7471,constant 2015 US$ (computed),NY.ADJ.SVNX.COMPUTED_REAL_2015USD,"Adjusted net savings, excluding particulate emission damage (current US$) (computed real, 2015 US$)",wdi,true
TUR,Turkey,1999,28556138413.4424,constant 2015 US$ (computed),NY.ADJ.SVNX.COMPUTED_REAL_2015USD,"Adjusted net savings, excluding particulate emission damage (current US$) (computed real, 2015 US$)",wdi,true
TUR,Turkey,2000,27494915883.4199,constant 2015 US$ (computed),NY.ADJ.SVNX.COMPUTED_REAL_2015USD,"Adjusted net savings, excluding particulate emission damage (current US$) (computed real, 2015 US$)",wdi,true
TUR,Turkey,2001,18277799729.8831,constant 2015 US$ (computed),NY.ADJ.SVNX.COMPUTED_REAL_2015USD,"Adjusted net savings, excluding particulate emission damage (current US$) (computed real, 2015 US$)",wdi,true
TUR,Turkey,2002,21014941096.8875,constant 2015 US$ (computed),NY.ADJ.SVNX.COMPUTED_REAL_2015USD,"Adjusted net savings, excluding particulate emission damage (current US$) (computed real, 2015 US$)",wdi,true
TUR,Turkey,2003,20623553945.42,constant 2015 US$ (computed),NY.ADJ.SVNX.COMPUTED_REAL_2015USD,"Adjusted net savings, excluding particulate emission damage (current US$) (computed real, 2015 US$)",wdi,true
TUR,Turkey,2004,38327873283.5736,constant 2015 US$ (computed),NY.ADJ.SVNX.COMPUTED_REAL_2015USD,"Adjusted net savings, excluding particulate emission damage (current US$) (computed real, 2015 US$)",wdi,true
TUR,Turkey,2005,51696512006.5117,constant 2015 US$ (computed),NY.ADJ.SVNX.COMPUTED_REAL_2015USD,"Adjusted net savings, excluding particulate emission damage (current US$) (computed real, 2015 US$)",wdi,true
TUR,Turkey,2006,61280979071.3986,constant 2015 US$ (computed),NY.ADJ.SVNX.COMPUTED_REAL_2015USD,"Adjusted net savings, excluding particulate emission damage (current US$) (computed real, 2015 US$)",wdi,true
TUR,Turkey,2007,60143772427.991,constant 2015 US$ (computed),NY.ADJ.SVNX.COMPUTED_REAL_2015USD,"Adjusted net savings, excluding particulate emission damage (current US$) (computed real, 2015 US$)",wdi,true
TUR,Turkey,2008,67417065644.0388,constant 2015 US$ (computed),NY.ADJ.SVNX.COMPUTED_REAL_2015USD,"Adjusted net savings, excluding particulate emission damage (current US$) (computed real, 2015 US$)",wdi,true
TUR,Turkey,2009,44371753059.8189,constant 2015 US$ (computed),NY.ADJ.SVNX.COMPUTED_REAL_2015USD,"Adjusted net savings, excluding particulate emission damage (current US$) (computed real, 2015 US$)",wdi,true
